studied_credits,imd_band_encoded,highest_education_encoded,before_course_click,sum_click,after_course_click,final_score
30,3,1,0.0,28.0,28.0,0.0
60,9,1,27.0,1913.0,1886.0,68.38
30,7,2,50.0,662.0,612.0,35.59
60,9,1,67.0,2011.0,1944.0,42.5
60,8,3,20.0,584.0,564.0,89.59
60,1,1,0.0,108.0,108.0,31.48684210526316
120,8,2,0.0,1556.0,1556.0,60.75
60,7,2,247.0,1330.0,1083.0,147.075
60,1,1,4.0,161.0,157.0,58.33
60,4,1,5.0,863.0,858.0,137.7
120,3,1,4.0,4.0,0.0,32.034018987341774
240,2,1,16.0,151.0,135.0,2.7999999999999994
60,6,2,8.0,223.0,215.0,23.05
120,0,2,15.0,161.0,146.0,50.94
60,8,1,4.0,199.0,195.0,16.939143426294823
60,3,2,78.0,740.0,662.0,77.64
60,2,2,976.0,13879.0,12903.0,85.5
120,7,3,126.0,3989.0,3863.0,66.5
60,0,1,124.0,626.0,502.0,95.12
60,5,2,7.0,3229.0,3222.0,65.6
60,0,1,0.0,101.0,101.0,0.0
60,2,2,37.0,725.0,688.0,44.56
60,1,1,450.0,3811.0,3361.0,62.75
120,2,1,58.0,354.0,296.0,20.58634969325153
60,1,2,77.0,935.0,858.0,149.97
60,4,2,45.0,78.0,33.0,4.0
60,7,2,9.0,146.0,137.0,6.4
60,6,1,28.0,186.0,158.0,0.0
120,2,2,52.0,1268.0,1216.0,37.0
120,2,3,84.0,1911.0,1827.0,22.72
120,1,1,0.0,14.0,14.0,3.25
120,9,2,85.0,774.0,689.0,21.8089552238806
60,4,2,86.0,1219.0,1133.0,16.25
60,2,1,0.0,32.0,32.0,3.6
120,0,2,34.0,233.0,199.0,10.145049504950494
60,9,3,11.0,1116.0,1105.0,197.05
120,1,1,56.0,296.0,240.0,0.0
120,1,2,0.0,618.0,618.0,55.9
60,0,2,12.0,484.0,472.0,81.75
60,9,3,0.0,1023.0,1023.0,65.2
60,9,1,111.0,154.0,43.0,2.0
30,6,1,16.0,1752.0,1736.0,84.32000000000001
85,5,1,0.0,974.0,974.0,95.2
120,1,2,79.0,1103.0,1024.0,107.43
90,6,3,28.0,579.0,551.0,125.535
60,2,2,24.0,333.0,309.0,132.75
30,0,2,21.0,112.0,91.0,0.0
60,8,2,3.0,1158.0,1155.0,83.75
60,5,2,0.0,1076.0,1076.0,73.74000000000001
60,8,3,0.0,2116.0,2116.0,64.75
30,0,2,0.0,1759.0,1759.0,77.68
60,2,2,73.0,917.0,844.0,94.5
60,7,2,31.0,256.0,225.0,16.720334928229665
90,7,2,66.0,179.0,113.0,9.5
30,9,3,0.0,320.0,320.0,0.0
60,2,1,0.0,7.0,7.0,0.0
60,5,2,0.0,247.0,247.0,23.25
60,3,1,0.0,1452.0,1452.0,0.0
60,1,2,187.0,1054.0,867.0,101.3
90,2,2,324.0,1803.0,1479.0,57.1
60,5,1,85.0,774.0,689.0,21.8089552238806
60,9,1,48.0,831.0,783.0,127.75
150,7,2,192.0,2058.0,1866.0,70.5
60,9,2,0.0,1359.0,1359.0,80.45
60,6,1,93.0,2042.0,1949.0,82.5
60,5,1,17.0,944.0,927.0,89.47499999999998
60,7,3,89.0,177.0,88.0,8.8
60,6,2,66.0,1048.0,982.0,124.22499999999998
120,6,2,6.0,1308.0,1302.0,60.0
30,0,1,0.0,5.0,5.0,0.0
180,9,1,64.0,480.0,416.0,16.939143426294823
60,5,3,36.0,3163.0,3127.0,92.5
60,6,0,0.0,14.0,14.0,10.145049504950494
60,4,2,12.0,514.0,502.0,62.11
60,0,1,26.0,1046.0,1020.0,59.84
90,3,3,85.0,774.0,689.0,21.8089552238806
120,2,0,62.0,563.0,501.0,18.90915119363396
120,0,2,26.0,502.0,476.0,14.75
30,0,1,10.0,683.0,673.0,33.46
90,4,1,35.0,410.0,375.0,9.354555555555557
120,8,1,17.0,37.0,20.0,30.90116477272727
60,0,2,40.0,1508.0,1468.0,75.8
60,5,2,1.0,907.0,906.0,28.92
120,0,1,108.0,317.0,209.0,6.5
60,9,3,2.0,817.0,815.0,71.005
120,2,2,84.0,744.0,660.0,96.78000000000002
60,6,2,13.0,2158.0,2145.0,53.0
60,3,2,169.0,3306.0,3137.0,72.25
30,3,2,0.0,230.0,230.0,0.0
30,8,1,11.0,1305.0,1294.0,0.0
60,0,1,9.0,1279.0,1270.0,73.1
60,6,2,0.0,2279.0,2279.0,90.08
60,0,2,0.0,31.0,31.0,49.68
60,2,1,78.0,472.0,394.0,36.22377622377623
60,1,2,34.0,233.0,199.0,10.145049504950494
120,0,1,147.0,1764.0,1617.0,54.75
60,3,0,10.0,599.0,589.0,67.13
60,6,2,58.0,747.0,689.0,95.81
60,4,2,46.0,2722.0,2676.0,89.35
120,2,1,19.0,87.0,68.0,2.9
120,4,3,30.0,1546.0,1516.0,144.25
60,2,2,18.0,45.0,27.0,16.2
60,4,2,112.0,1476.0,1364.0,152.5
90,3,1,0.0,250.0,250.0,0.0
180,2,1,65.0,294.0,229.0,19.7685667752443
30,6,2,0.0,304.0,304.0,0.0
60,9,1,1.0,1294.0,1293.0,95.52
60,2,2,0.0,103.0,103.0,76.57
90,5,1,5.0,93.0,88.0,10.827691056910568
150,8,2,63.0,329.0,266.0,1.26
120,9,2,7.0,114.0,107.0,80.7
60,0,2,51.0,260.0,209.0,14.25
60,9,3,39.0,1772.0,1733.0,181.75
60,8,1,0.0,155.0,155.0,10.55
90,4,2,3.0,310.0,307.0,22.55
60,3,2,72.0,510.0,438.0,64.7
120,4,3,0.0,2441.0,2441.0,74.0
60,2,2,0.0,106.0,106.0,64.1
90,0,2,14.0,833.0,819.0,8.61
120,6,1,62.0,563.0,501.0,18.90915119363396
60,5,1,67.0,747.0,680.0,20.60275423728813
60,5,1,52.0,1763.0,1711.0,72.2
60,4,1,2.0,275.0,273.0,0.36
60,5,1,49.0,192.0,143.0,19.35
120,1,2,67.0,916.0,849.0,0.0
60,7,2,27.0,295.0,268.0,58.3
60,0,2,25.0,230.0,205.0,16.65823529411765
90,1,3,143.0,502.0,359.0,105.8
60,2,1,12.0,1033.0,1021.0,104.025
90,2,3,88.0,1766.0,1678.0,134.55
60,0,1,62.0,563.0,501.0,18.90915119363396
60,3,1,49.0,276.0,227.0,6.4
90,2,2,107.0,852.0,745.0,20.762443438914023
90,9,1,70.0,1318.0,1248.0,71.75
60,4,2,14.0,466.0,452.0,80.94
60,1,1,0.0,1.0,1.0,42.84767123287671
60,2,1,0.0,1895.0,1895.0,153.83499999999998
90,8,3,322.0,4701.0,4379.0,84.0
60,2,1,0.0,85.0,85.0,13.8
30,0,3,8.0,1085.0,1077.0,99.98
60,1,0,25.0,230.0,205.0,16.65823529411765
180,1,2,12.0,2304.0,2292.0,81.72
30,0,1,42.0,1709.0,1667.0,0.0
60,2,1,126.0,1295.0,1169.0,172.8
60,2,2,30.0,943.0,913.0,77.11
120,0,2,13.0,1346.0,1333.0,147.26999999999998
120,1,1,31.0,256.0,225.0,16.720334928229665
60,5,2,66.0,2034.0,1968.0,62.0
60,7,1,39.0,1157.0,1118.0,67.64
60,6,1,255.0,1821.0,1566.0,20.5
60,4,2,0.0,858.0,858.0,77.125
60,4,3,3.0,260.0,257.0,19.25
120,3,2,50.0,1292.0,1242.0,81.62
30,4,2,0.0,494.0,494.0,0.0
120,4,2,13.0,567.0,554.0,78.32
210,0,1,63.0,108.0,45.0,20.244642857142857
60,6,2,0.0,7.0,7.0,0.0
60,8,1,16.0,356.0,340.0,62.900000000000006
60,8,2,235.0,1704.0,1469.0,22.25
60,7,1,0.0,37.0,37.0,20.58634969325153
60,8,1,10.0,951.0,941.0,86.2
60,7,1,0.0,221.0,221.0,9.0
60,5,2,1.0,2530.0,2529.0,74.75
120,9,2,0.0,173.0,173.0,9.5
60,5,1,293.0,11619.0,11326.0,78.9
90,3,1,34.0,127.0,93.0,10.827691056910568
30,6,3,131.0,281.0,150.0,0.88
120,3,3,0.0,605.0,605.0,92.4
30,4,1,6.0,595.0,589.0,1.12
60,0,1,9.0,120.0,111.0,35.09
60,0,2,18.0,788.0,770.0,84.1
60,4,1,470.0,1435.0,965.0,36.05
60,2,1,207.0,2168.0,1961.0,74.7
60,2,1,125.0,2828.0,2703.0,74.5
60,9,2,11.0,1557.0,1546.0,85.88
120,4,2,132.0,574.0,442.0,14.015
90,0,1,47.0,455.0,408.0,31.48684210526316
60,9,2,50.0,1410.0,1360.0,22.5
120,5,2,73.0,2653.0,2580.0,82.25
120,1,1,233.0,4433.0,4200.0,77.0
60,2,0,0.0,2857.0,2857.0,75.75
120,6,3,0.0,599.0,599.0,29.75
60,5,2,126.0,1836.0,1710.0,86.83
120,9,0,108.0,2955.0,2847.0,86.5
120,5,2,0.0,1351.0,1351.0,61.0
60,1,2,107.0,886.0,779.0,130.01
90,3,3,0.0,416.0,416.0,30.500000000000004
60,9,1,114.0,1104.0,990.0,162.16
60,4,3,28.0,1021.0,993.0,161.925
90,1,1,0.0,635.0,635.0,14.08
60,6,1,34.0,1576.0,1542.0,72.96000000000001
60,7,2,14.0,707.0,693.0,77.95
60,8,2,197.0,995.0,798.0,140.475
60,4,1,40.0,370.0,330.0,10.827691056910568
60,8,2,449.0,3132.0,2683.0,68.18
30,3,1,0.0,321.0,321.0,0.0
60,4,2,94.0,2710.0,2616.0,86.25
30,1,0,18.0,723.0,705.0,0.0
60,5,1,0.0,404.0,404.0,7.6
60,2,1,118.0,5776.0,5658.0,86.0
60,1,2,14.0,2071.0,2057.0,176.72
180,0,2,0.0,143.0,143.0,128.875
60,6,2,0.0,374.0,374.0,83.39
60,9,1,0.0,261.0,261.0,8.3
60,6,2,0.0,330.0,330.0,71.39
60,1,2,199.0,203.0,4.0,21.8089552238806
60,3,1,34.0,984.0,950.0,18.8
60,8,2,44.0,1010.0,966.0,84.95
60,2,2,38.0,3103.0,3065.0,69.06
60,7,1,26.0,366.0,340.0,0.54
60,7,3,17.0,498.0,481.0,48.25
30,2,2,56.0,1597.0,1541.0,103.58
60,0,2,33.0,799.0,766.0,57.75
90,3,2,11.0,11.0,0.0,10.827691056910568
60,9,2,67.0,747.0,680.0,20.60275423728813
90,6,0,107.0,852.0,745.0,20.762443438914023
180,1,1,35.0,392.0,357.0,18.066869158878504
120,0,3,63.0,1208.0,1145.0,33.9785100286533
60,2,3,0.0,164.0,164.0,55.36999999999999
180,2,3,0.0,2.0,2.0,16.939143426294823
120,5,1,211.0,1216.0,1005.0,50.3
60,3,3,25.0,774.0,749.0,7.130000000000001
90,1,1,21.0,249.0,228.0,0.0
60,8,3,524.0,7262.0,6738.0,81.6
90,7,2,133.0,5387.0,5254.0,88.75
30,2,1,0.0,460.0,460.0,14.04
60,2,2,80.0,7324.0,7244.0,71.05
120,7,2,109.0,4043.0,3934.0,88.0
60,3,1,0.0,443.0,443.0,4.4
120,0,1,107.0,852.0,745.0,20.762443438914023
60,6,3,146.0,4975.0,4829.0,124.72
120,6,2,0.0,448.0,448.0,33.76
60,2,1,77.0,2074.0,1997.0,20.75
240,9,1,12.0,1183.0,1171.0,45.0
60,2,1,32.0,546.0,514.0,0.0
60,2,1,5.0,287.0,282.0,20.244642857142857
60,9,2,50.0,1356.0,1306.0,153.75
120,8,3,198.0,1845.0,1647.0,70.91
300,4,2,65.0,294.0,229.0,19.7685667752443
60,0,2,162.0,4210.0,4048.0,48.5
60,5,3,6.0,238.0,232.0,80.07
120,7,3,47.0,455.0,408.0,31.48684210526316
60,7,1,91.0,3733.0,3642.0,78.75
60,7,1,56.0,1235.0,1179.0,22.25
90,0,1,24.0,593.0,569.0,30.51
120,9,2,4.0,26.0,22.0,21.121739130434783
30,2,3,0.0,296.0,296.0,0.0
60,9,1,10.0,1751.0,1741.0,89.68
60,7,2,37.0,638.0,601.0,75.5
60,6,1,2.0,1278.0,1276.0,82.36
120,5,2,137.0,2155.0,2018.0,85.66
120,2,2,16.0,1207.0,1191.0,138.845
120,4,3,20.0,318.0,298.0,30.72293706293706
60,0,2,71.0,2771.0,2700.0,42.25
120,4,1,0.0,782.0,782.0,34.77
60,4,2,14.0,3028.0,3014.0,62.0
30,6,1,7.0,605.0,598.0,0.0
60,4,2,12.0,795.0,783.0,84.04
30,5,3,5.0,249.0,244.0,10.07
60,2,3,84.0,1179.0,1095.0,66.93
60,1,3,11.0,482.0,471.0,31.87
60,3,2,34.0,233.0,199.0,10.145049504950494
60,5,2,75.0,165.0,90.0,6.2
90,3,3,375.0,7549.0,7174.0,195.9
90,2,3,35.0,410.0,375.0,9.354555555555557
60,3,1,179.0,2143.0,1964.0,100.355
60,2,2,117.0,1350.0,1233.0,99.075
150,7,2,28.0,224.0,196.0,0.6
90,2,3,212.0,1516.0,1304.0,161.5
60,0,1,0.0,171.0,171.0,54.34
60,9,3,107.0,852.0,745.0,20.762443438914023
30,7,2,25.0,1785.0,1760.0,95.94
180,0,2,3.0,58.0,55.0,0.0
120,4,1,35.0,392.0,357.0,18.066869158878504
60,5,1,34.0,233.0,199.0,10.145049504950494
60,6,1,4.0,140.0,136.0,6.3
60,4,2,33.0,1090.0,1057.0,85.88
180,2,2,35.0,392.0,357.0,18.066869158878504
120,1,1,0.0,10.0,10.0,21.8089552238806
60,7,2,0.0,34.0,34.0,20.58634969325153
60,8,3,9.0,1316.0,1307.0,85.5
60,9,1,30.0,1317.0,1287.0,17.02
120,0,2,0.0,21.0,21.0,19.61
60,9,3,23.0,1288.0,1265.0,97.075
60,6,3,179.0,1460.0,1281.0,150.525
60,1,2,46.0,56.0,10.0,16.939143426294823
120,7,2,65.0,294.0,229.0,19.7685667752443
120,1,1,75.0,190.0,115.0,1.34
60,2,0,1.0,419.0,418.0,162.18
60,9,2,83.0,751.0,668.0,18.5
210,0,0,62.0,563.0,501.0,18.90915119363396
60,6,2,58.0,383.0,325.0,20.244642857142857
60,6,1,0.0,20.0,20.0,20.244642857142857
60,5,2,82.0,1483.0,1401.0,160.03
60,3,3,251.0,6075.0,5824.0,87.25
120,6,1,10.0,362.0,352.0,72.59
60,1,1,34.0,233.0,199.0,10.145049504950494
60,9,1,75.0,1073.0,998.0,77.09
120,3,2,103.0,963.0,860.0,91.85
30,3,2,40.0,707.0,667.0,0.0
30,3,1,0.0,526.0,526.0,0.0
120,8,3,116.0,1009.0,893.0,84.86
60,1,2,129.0,2043.0,1914.0,143.3
120,0,2,0.0,543.0,543.0,68.64
90,5,1,6.0,718.0,712.0,122.05
240,4,2,58.0,354.0,296.0,20.58634969325153
120,1,2,27.0,1279.0,1252.0,18.0
90,4,1,12.0,197.0,185.0,63.870000000000005
60,3,2,356.0,5151.0,4795.0,73.25
210,0,1,0.0,125.0,125.0,9.0
60,9,2,153.0,1917.0,1764.0,167.75
60,3,2,12.0,2664.0,2652.0,76.25
30,2,3,77.0,521.0,444.0,39.49
120,7,2,113.0,1929.0,1816.0,65.87
90,9,1,35.0,269.0,234.0,1.0
120,5,3,7.0,477.0,470.0,65.67
60,8,2,13.0,61.0,48.0,16.65823529411765
60,1,2,22.0,269.0,247.0,5.0600000000000005
60,1,2,219.0,1211.0,992.0,161.35000000000005
60,2,1,1.0,274.0,273.0,18.11
60,1,1,21.0,944.0,923.0,22.15
60,6,1,66.0,66.0,0.0,21.8089552238806
60,8,1,126.0,3137.0,3011.0,66.5
60,6,3,494.0,6802.0,6308.0,160.5
135,8,2,21.0,1964.0,1943.0,63.23
60,0,2,114.0,867.0,753.0,157.8
60,3,1,0.0,321.0,321.0,69.91
60,8,3,127.0,425.0,298.0,6.340000000000001
60,2,1,20.0,362.0,342.0,21.8089552238806
60,2,1,0.0,390.0,390.0,65.25
30,8,1,1.0,561.0,560.0,30.12
120,4,2,53.0,53.0,0.0,20.762443438914023
60,1,3,88.0,1081.0,993.0,81.3
210,0,1,67.0,426.0,359.0,8.25
60,3,2,19.0,670.0,651.0,94.74
120,5,2,37.0,44.0,7.0,49.73075284090908
90,7,3,294.0,4601.0,4307.0,164.24
120,1,1,63.0,325.0,262.0,8.25
60,5,1,0.0,132.0,132.0,15.949999999999998
60,1,2,31.0,256.0,225.0,16.720334928229665
60,8,2,43.0,2238.0,2195.0,83.12
120,3,2,253.0,256.0,3.0,8.9
60,6,1,107.0,4164.0,4057.0,86.25
120,0,2,0.0,106.0,106.0,46.650000000000006
120,1,1,65.0,294.0,229.0,19.7685667752443
60,4,3,0.0,681.0,681.0,68.965
90,3,1,5.0,1979.0,1974.0,39.25
60,6,3,5.0,230.0,225.0,113.12
60,8,1,4.0,671.0,667.0,67.3
60,0,2,50.0,776.0,726.0,41.25
60,5,2,141.0,2372.0,2231.0,68.2
60,8,1,658.0,24139.0,23481.0,92.3
120,9,3,2.0,490.0,488.0,79.7
120,4,1,9.0,390.0,381.0,84.775
60,2,2,0.0,971.0,971.0,76.76
120,8,1,34.0,233.0,199.0,10.145049504950494
60,3,2,313.0,5844.0,5531.0,72.25
120,1,2,10.0,318.0,308.0,61.40999999999999
60,1,3,84.0,578.0,494.0,145.86
60,6,3,40.0,61.0,21.0,19.7685667752443
120,9,2,0.0,1331.0,1331.0,51.25
30,8,3,40.0,3326.0,3286.0,194.28
120,8,2,35.0,392.0,357.0,18.066869158878504
90,8,1,1.0,106.0,105.0,20.60275423728813
60,0,1,16.0,425.0,409.0,20.96
30,4,3,38.0,1703.0,1665.0,74.65
60,8,1,165.0,1303.0,1138.0,11.75
60,0,2,0.0,130.0,130.0,21.8089552238806
90,6,1,15.0,286.0,271.0,1.2
120,4,1,0.0,41.0,41.0,31.3372
90,6,3,18.0,825.0,807.0,46.65
60,7,1,9.0,165.0,156.0,50.89
120,6,2,4.0,4274.0,4270.0,67.75
90,9,2,86.0,1170.0,1084.0,98.95
180,1,3,195.0,9631.0,9436.0,85.5
120,0,2,7.0,90.0,83.0,3.0
120,4,2,211.0,3941.0,3730.0,127.405
60,1,3,109.0,2308.0,2199.0,164.99500000000003
60,6,3,28.0,693.0,665.0,49.865
60,4,2,37.0,2963.0,2926.0,85.25
120,3,2,64.0,480.0,416.0,16.939143426294823
60,6,2,49.0,357.0,308.0,114.75
60,1,1,248.0,3610.0,3362.0,90.5
90,0,3,100.0,825.0,725.0,61.75
30,6,1,21.0,112.0,91.0,0.0
60,2,1,356.0,1018.0,662.0,18.05
90,2,2,190.0,4070.0,3880.0,95.0
60,5,3,36.0,1351.0,1315.0,64.4
60,0,2,22.0,1060.0,1038.0,65.56
60,0,1,3.0,364.0,361.0,82.5
90,2,1,5.0,602.0,597.0,34.33
60,4,2,1.0,1.0,0.0,20.60275423728813
60,3,2,0.0,487.0,487.0,83.19
180,3,3,13.0,150.0,137.0,26.7
120,0,3,40.0,370.0,330.0,10.827691056910568
60,7,1,51.0,64.0,13.0,19.7685667752443
120,9,1,42.0,418.0,376.0,167.25
60,7,2,62.0,563.0,501.0,18.90915119363396
60,2,1,22.0,72.0,50.0,3.4
60,3,2,57.0,523.0,466.0,88.9
30,3,2,1.0,803.0,802.0,0.0
60,9,2,85.0,774.0,689.0,21.8089552238806
30,0,1,507.0,1303.0,796.0,11.36
90,3,2,171.0,2393.0,2222.0,134.125
60,2,2,18.0,447.0,429.0,36.3
90,3,2,1.0,1917.0,1916.0,67.75
60,2,3,7.0,1151.0,1144.0,173.12
60,0,2,25.0,230.0,205.0,16.65823529411765
150,9,1,14.0,219.0,205.0,5.5200000000000005
120,6,3,85.0,671.0,586.0,37.84
60,6,3,65.0,294.0,229.0,54.1
30,8,2,27.0,787.0,760.0,0.0
180,3,1,0.0,75.0,75.0,32.034018987341774
150,6,2,110.0,2991.0,2881.0,102.18
60,3,1,0.0,478.0,478.0,0.0
60,5,1,0.0,51.0,51.0,52.19
30,8,1,0.0,376.0,376.0,0.0
120,7,1,292.0,9464.0,9172.0,87.75
120,0,2,0.0,438.0,438.0,54.35
60,7,3,182.0,4023.0,3841.0,92.12
90,6,3,17.0,1466.0,1449.0,120.47
30,5,1,3.0,345.0,342.0,0.0
60,1,1,9.0,47.0,38.0,9.354555555555557
120,3,3,8.0,284.0,276.0,59.0
120,5,2,25.0,230.0,205.0,16.65823529411765
60,6,3,14.0,597.0,583.0,155.72
90,8,3,171.0,911.0,740.0,9.0
60,1,3,140.0,3169.0,3029.0,72.75
60,2,2,45.0,926.0,881.0,166.89
60,8,1,5.0,291.0,286.0,9.4
60,1,1,0.0,66.0,66.0,17.5
60,3,3,68.0,3856.0,3788.0,69.0
120,7,2,184.0,2387.0,2203.0,117.75
30,1,1,97.0,768.0,671.0,0.0
120,4,2,43.0,529.0,486.0,52.23
60,7,1,34.0,233.0,199.0,10.145049504950494
60,9,1,22.0,1538.0,1516.0,20.1
60,8,2,90.0,1915.0,1825.0,71.95
120,1,4,7.0,706.0,699.0,188.1
70,3,2,174.0,1979.0,1805.0,143.7
30,0,1,22.0,379.0,357.0,0.0
60,6,3,0.0,228.0,228.0,16.2
30,6,3,58.0,1118.0,1060.0,0.0
30,2,1,5.0,354.0,349.0,0.0
60,7,1,50.0,1500.0,1450.0,10.827691056910568
120,7,1,84.0,688.0,604.0,60.42
60,5,1,35.0,392.0,357.0,18.066869158878504
90,8,3,207.0,3100.0,2893.0,89.68
120,8,2,156.0,1947.0,1791.0,44.5
90,1,1,6.0,33.0,27.0,10.827691056910568
60,7,3,74.0,2517.0,2443.0,74.0
30,0,1,36.0,172.0,136.0,0.0
120,3,1,127.0,3989.0,3862.0,120.03
120,5,4,21.0,29.0,8.0,10.827691056910568
60,9,2,82.0,2544.0,2462.0,149.975
60,5,1,15.0,39.0,24.0,49.73075284090908
60,4,3,0.0,563.0,563.0,63.220000000000006
60,6,2,121.0,1936.0,1815.0,23.0
150,3,2,5.0,1215.0,1210.0,42.25
60,2,1,270.0,1749.0,1479.0,124.075
30,2,4,2.0,4.0,2.0,113.45
60,6,1,0.0,603.0,603.0,29.07
60,0,1,345.0,3601.0,3256.0,87.0
60,2,0,13.0,1388.0,1375.0,74.47999999999999
30,6,1,0.0,235.0,235.0,0.0
120,6,2,134.0,726.0,592.0,63.35
120,3,2,281.0,6034.0,5753.0,89.0
60,3,1,36.0,2470.0,2434.0,79.52
90,0,1,40.0,370.0,330.0,10.827691056910568
70,9,1,343.0,819.0,476.0,12.7
30,3,1,25.0,557.0,532.0,27.76
60,2,2,99.0,286.0,187.0,7.0
180,1,1,10.0,2830.0,2820.0,61.5
60,9,2,34.0,233.0,199.0,10.145049504950494
30,8,2,520.0,1435.0,915.0,57.88
180,0,3,27.0,1125.0,1098.0,43.75
30,1,0,13.0,392.0,379.0,0.0
60,3,2,0.0,381.0,381.0,61.07
120,3,2,5.0,4123.0,4118.0,68.5
60,6,2,6.0,63.0,57.0,41.24271381578947
60,3,2,8.0,446.0,438.0,145.05
60,8,2,151.0,3629.0,3478.0,36.5
120,6,1,72.0,499.0,427.0,17.25
120,0,1,362.0,3540.0,3178.0,52.5
60,8,2,0.0,140.0,140.0,48.19
150,4,3,107.0,852.0,745.0,20.762443438914023
60,0,1,62.0,563.0,501.0,18.90915119363396
60,8,1,369.0,2800.0,2431.0,88.84
90,4,1,105.0,7382.0,7277.0,51.78
60,2,1,24.0,878.0,854.0,74.4
60,0,1,35.0,410.0,375.0,9.354555555555557
60,0,2,218.0,2340.0,2122.0,84.6
60,2,2,326.0,2750.0,2424.0,83.25
60,2,1,347.0,6271.0,5924.0,80.25
60,7,1,14.0,1373.0,1359.0,75.30000000000001
60,2,2,394.0,2354.0,1960.0,151.12000000000003
120,7,2,103.0,1099.0,996.0,68.82
120,6,2,35.0,392.0,357.0,18.066869158878504
120,1,1,67.0,747.0,680.0,20.60275423728813
60,7,2,35.0,410.0,375.0,9.354555555555557
180,7,2,0.0,170.0,170.0,54.81
180,2,2,86.0,135.0,49.0,19.7685667752443
60,4,2,27.0,497.0,470.0,170.3
60,4,1,21.0,1465.0,1444.0,75.24
120,1,2,45.0,354.0,309.0,49.0
30,3,2,10.0,10.0,0.0,0.0
30,4,1,88.0,641.0,553.0,23.35
80,5,2,1.0,1330.0,1329.0,47.75
60,8,2,182.0,1416.0,1234.0,184.5
60,0,1,62.0,563.0,501.0,18.90915119363396
90,3,2,91.0,141.0,50.0,10.827691056910568
75,8,2,0.0,1068.0,1068.0,69.02
60,4,3,3.0,332.0,329.0,156.54
180,7,1,0.0,209.0,209.0,50.49
60,6,4,29.0,179.0,150.0,6.7
60,9,1,85.0,774.0,689.0,21.8089552238806
60,1,2,0.0,1485.0,1485.0,58.25
30,2,3,80.0,442.0,362.0,7.46
120,2,2,11.0,190.0,179.0,55.89
60,1,1,165.0,1181.0,1016.0,79.8
90,8,1,215.0,3216.0,3001.0,47.0
30,3,1,125.0,1043.0,918.0,0.0
120,8,2,14.0,14.0,0.0,20.244642857142857
60,8,3,28.0,326.0,298.0,61.2
30,8,2,42.0,469.0,427.0,186.75
60,0,1,34.0,160.0,126.0,12.83
90,3,1,0.0,57.0,57.0,16.939143426294823
30,5,2,0.0,47.0,47.0,1.12
60,1,1,8.0,404.0,396.0,5.27
60,8,3,36.0,45.0,9.0,42.84767123287671
60,4,2,6.0,1029.0,1023.0,83.56
60,0,2,67.0,747.0,680.0,20.60275423728813
60,3,0,6.0,614.0,608.0,17.52
90,7,1,1.0,340.0,339.0,20.68
60,3,1,0.0,111.0,111.0,8.5
60,2,3,161.0,1770.0,1609.0,59.75
