at_risk_binary_encoded,studied_credits,num_of_prev_attempts,imd_band_encoded,highest_education_encoded,before_course_click,sum_click,after_course_click,final_score,imd_band,highest_education
1,90,0,8,1,19.0,155.0,136.0,5.2,80-90%,Lower Than A Level
0,60,0,7,2,164.0,3493.0,3329.0,60.2,70-80%,A Level or Equivalent
1,60,0,3,2,257.0,1864.0,1607.0,36.4,30-40%,A Level or Equivalent
0,150,0,8,2,0.0,270.0,270.0,49.6,80-90%,A Level or Equivalent
0,60,0,8,1,100.0,4202.0,4102.0,72.2,80-90%,Lower Than A Level
0,420,0,0,2,93.0,1529.0,1436.0,66.0,0-10%,A Level or Equivalent
0,60,0,2,2,294.0,4003.0,3709.0,79.4,20-30%,A Level or Equivalent
1,60,0,7,1,250.0,908.0,658.0,23.5,70-80%,Lower Than A Level
0,60,0,9,2,64.0,1405.0,1341.0,68.6,90-100%,A Level or Equivalent
1,60,0,4,2,140.0,1185.0,1045.0,20.1,40-50%,A Level or Equivalent
0,60,0,9,1,0.0,723.0,723.0,77.9,90-100%,Lower Than A Level
1,60,0,9,3,113.0,998.0,885.0,22.5,90-100%,HE Qualification
0,60,0,6,2,739.0,6025.0,5286.0,84.9,60-70%,A Level or Equivalent
0,60,0,3,2,490.0,5061.0,4571.0,85.3,30-40%,A Level or Equivalent
0,60,0,7,2,6.0,466.0,460.0,70.4,70-80%,A Level or Equivalent
0,60,0,4,2,136.0,1510.0,1374.0,70.9,40-50%,A Level or Equivalent
1,60,0,5,1,148.0,643.0,495.0,6.8,50-60%,Lower Than A Level
0,60,0,1,1,0.0,745.0,745.0,64.9,10-20%,Lower Than A Level
0,60,0,2,3,49.0,1939.0,1890.0,71.1,20-30%,HE Qualification
0,60,0,2,2,136.0,1782.0,1646.0,61.4,20-30%,A Level or Equivalent
0,60,0,4,3,173.0,2756.0,2583.0,77.5,40-50%,HE Qualification
0,60,0,6,2,55.0,1759.0,1704.0,84.0,60-70%,A Level or Equivalent
0,60,0,9,3,338.0,6318.0,5980.0,80.1,90-100%,HE Qualification
0,60,0,2,3,486.0,4447.0,3961.0,81.7,20-30%,HE Qualification
1,75,0,3,1,484.0,2756.0,2272.0,17.9,30-40%,Lower Than A Level
0,60,0,7,3,284.0,2016.0,1732.0,78.8,70-80%,HE Qualification
1,180,0,8,2,2.0,138.0,136.0,36.0,80-90%,A Level or Equivalent
1,60,0,1,2,420.0,420.0,0.0,21.121739130434783,10-20%,A Level or Equivalent
0,60,0,7,3,550.0,7057.0,6507.0,67.5,70-80%,HE Qualification
0,60,0,2,3,24.0,1443.0,1419.0,76.69999999999999,20-30%,HE Qualification
0,60,0,3,2,65.0,459.0,394.0,77.8,30-40%,A Level or Equivalent
0,120,0,3,2,113.0,2012.0,1899.0,51.7,30-40%,A Level or Equivalent
1,120,0,8,2,94.0,487.0,393.0,7.6,80-90%,A Level or Equivalent
0,60,0,6,2,256.0,1975.0,1719.0,54.0,60-70%,A Level or Equivalent
0,180,0,1,2,7.0,964.0,957.0,46.6,10-20%,A Level or Equivalent
0,170,0,8,3,98.0,1312.0,1214.0,58.7,80-90%,HE Qualification
0,60,0,4,1,135.0,6518.0,6383.0,69.1,40-50%,Lower Than A Level
1,120,0,1,3,105.0,427.0,322.0,7.4,10-20%,HE Qualification
0,300,0,4,1,257.0,5975.0,5718.0,62.8,40-50%,Lower Than A Level
0,60,0,3,3,449.0,2136.0,1687.0,75.6,30-40%,HE Qualification
0,60,0,5,2,769.0,8562.0,7793.0,89.4,50-60%,A Level or Equivalent
1,120,0,7,2,80.0,1434.0,1354.0,7.6,70-80%,A Level or Equivalent
0,60,0,5,2,67.0,1754.0,1687.0,71.2,50-60%,A Level or Equivalent
0,60,0,7,2,4.0,931.0,927.0,73.2,70-80%,A Level or Equivalent
0,60,0,8,2,292.0,4294.0,4002.0,69.7,80-90%,A Level or Equivalent
0,120,0,9,2,2.0,1541.0,1539.0,78.80000000000001,90-100%,A Level or Equivalent
0,60,0,9,1,148.0,3219.0,3071.0,66.69999999999999,90-100%,Lower Than A Level
0,60,0,9,2,248.0,1992.0,1744.0,71.2,90-100%,A Level or Equivalent
0,120,0,4,1,101.0,470.0,369.0,54.9,40-50%,Lower Than A Level
1,60,0,9,2,3.0,1905.0,1902.0,10.0,90-100%,A Level or Equivalent
1,60,0,0,1,657.0,11139.0,10482.0,83.8,0-10%,Lower Than A Level
0,120,0,5,1,211.0,1216.0,1005.0,50.3,50-60%,Lower Than A Level
0,60,0,5,1,43.0,534.0,491.0,50.8,50-60%,Lower Than A Level
0,60,0,9,2,39.0,1401.0,1362.0,75.6,90-100%,A Level or Equivalent
0,60,0,3,1,36.0,519.0,483.0,79.1,30-40%,Lower Than A Level
1,60,0,3,2,196.0,1418.0,1222.0,33.2,30-40%,A Level or Equivalent
0,60,0,7,1,47.0,1734.0,1687.0,67.3,70-80%,Lower Than A Level
0,60,0,8,3,249.0,1665.0,1416.0,72.2,80-90%,HE Qualification
1,90,0,4,2,13.0,333.0,320.0,27.3,40-50%,A Level or Equivalent
1,60,0,6,2,200.0,2386.0,2186.0,62.1,60-70%,A Level or Equivalent
1,330,0,3,2,1.0,1430.0,1429.0,18.4,30-40%,A Level or Equivalent
1,60,0,3,1,27.0,849.0,822.0,30.2,30-40%,Lower Than A Level
0,60,0,9,2,44.0,1146.0,1102.0,67.2,90-100%,A Level or Equivalent
0,120,0,0,2,92.0,685.0,593.0,68.1,0-10%,A Level or Equivalent
1,60,0,5,1,125.0,1967.0,1842.0,41.3,50-60%,Lower Than A Level
0,60,0,0,1,1.0,701.0,700.0,64.1,0-10%,Lower Than A Level
0,60,0,8,1,400.0,4712.0,4312.0,82.3,80-90%,Lower Than A Level
1,120,0,5,2,14.0,1262.0,1248.0,33.1,50-60%,A Level or Equivalent
0,60,0,7,1,122.0,1888.0,1766.0,52.9,70-80%,Lower Than A Level
0,60,0,2,3,148.0,2385.0,2237.0,70.0,20-30%,HE Qualification
1,60,0,7,2,238.0,319.0,81.0,21.121739130434783,70-80%,A Level or Equivalent
0,60,0,4,2,0.0,3385.0,3385.0,61.8,40-50%,A Level or Equivalent
0,60,0,8,1,103.0,1454.0,1351.0,73.9,80-90%,Lower Than A Level
1,120,0,4,2,30.0,231.0,201.0,7.0,40-50%,A Level or Equivalent
0,60,0,3,2,116.0,1346.0,1230.0,68.4,30-40%,A Level or Equivalent
0,60,0,7,2,321.0,4214.0,3893.0,66.3,70-80%,A Level or Equivalent
0,60,0,5,2,26.0,1401.0,1375.0,67.3,50-60%,A Level or Equivalent
0,60,0,3,3,193.0,1455.0,1262.0,75.7,30-40%,HE Qualification
0,60,0,2,2,127.0,1080.0,953.0,69.9,20-30%,A Level or Equivalent
0,60,0,1,2,98.0,3236.0,3138.0,77.1,10-20%,A Level or Equivalent
1,120,0,8,2,54.0,2543.0,2489.0,14.7,80-90%,A Level or Equivalent
0,60,0,2,2,60.0,1685.0,1625.0,83.6,20-30%,A Level or Equivalent
0,60,0,1,2,356.0,2953.0,2597.0,83.5,10-20%,A Level or Equivalent
1,180,0,2,3,140.0,1205.0,1065.0,61.7,20-30%,HE Qualification
0,60,0,3,1,83.0,307.0,224.0,48.9,30-40%,Lower Than A Level
0,60,0,6,3,8.0,227.0,219.0,74.80000000000001,60-70%,HE Qualification
0,60,0,5,1,0.0,445.0,445.0,60.7,50-60%,Lower Than A Level
0,60,0,2,2,65.0,614.0,549.0,65.1,20-30%,A Level or Equivalent
0,60,0,5,2,29.0,1215.0,1186.0,77.5,50-60%,A Level or Equivalent
0,150,0,9,2,145.0,303.0,158.0,60.5,90-100%,A Level or Equivalent
1,60,0,2,3,156.0,1129.0,973.0,18.1,20-30%,HE Qualification
0,240,0,4,2,163.0,1839.0,1676.0,52.8,40-50%,A Level or Equivalent
1,60,0,9,2,126.0,1077.0,951.0,21.121739130434783,90-100%,A Level or Equivalent
1,60,0,9,3,126.0,1077.0,951.0,21.121739130434783,90-100%,HE Qualification
0,120,0,4,1,0.0,565.0,565.0,58.8,40-50%,Lower Than A Level
0,60,0,4,1,2.0,593.0,591.0,80.5,40-50%,Lower Than A Level
1,60,0,2,1,62.0,1814.0,1752.0,74.2,20-30%,Lower Than A Level
1,60,0,6,2,29.0,445.0,416.0,34.5,60-70%,A Level or Equivalent
1,240,0,9,2,52.0,190.0,138.0,6.5,90-100%,A Level or Equivalent
1,60,0,2,3,186.0,1588.0,1402.0,69.8,20-30%,HE Qualification
1,180,0,7,2,146.0,373.0,227.0,6.8,70-80%,A Level or Equivalent
0,60,0,9,4,0.0,732.0,732.0,75.5,90-100%,Post Graduate Qualification
0,60,0,9,3,563.0,7182.0,6619.0,81.6,90-100%,HE Qualification
1,300,0,2,3,126.0,1077.0,951.0,21.121739130434783,20-30%,HE Qualification
0,120,0,8,2,58.0,2148.0,2090.0,75.7,80-90%,A Level or Equivalent
0,60,0,7,1,138.0,2146.0,2008.0,51.2,70-80%,Lower Than A Level
0,120,0,2,2,56.0,749.0,693.0,75.5,20-30%,A Level or Equivalent
0,60,0,9,3,156.0,1935.0,1779.0,79.5,90-100%,HE Qualification
1,60,0,9,2,1.0,818.0,817.0,50.9,90-100%,A Level or Equivalent
0,80,0,8,3,12.0,321.0,309.0,74.2,80-90%,HE Qualification
0,120,0,9,2,2.0,427.0,425.0,56.4,90-100%,A Level or Equivalent
1,120,0,8,2,75.0,574.0,499.0,45.3,80-90%,A Level or Equivalent
1,120,0,2,3,356.0,1497.0,1141.0,24.3,20-30%,HE Qualification
0,90,0,5,1,537.0,3344.0,2807.0,83.1,50-60%,Lower Than A Level
0,60,0,8,2,167.0,2458.0,2291.0,77.5,80-90%,A Level or Equivalent
0,60,0,9,3,288.0,1892.0,1604.0,78.8,90-100%,HE Qualification
1,60,0,6,3,90.0,1829.0,1739.0,59.6,60-70%,HE Qualification
0,60,0,2,3,52.0,658.0,606.0,79.2,20-30%,HE Qualification
1,120,0,1,2,0.0,655.0,655.0,5.1,10-20%,A Level or Equivalent
0,60,0,3,2,190.0,2684.0,2494.0,74.9,30-40%,A Level or Equivalent
0,60,0,3,2,10.0,622.0,612.0,60.5,30-40%,A Level or Equivalent
1,120,0,8,1,29.0,183.0,154.0,10.800000000000002,80-90%,Lower Than A Level
0,180,0,8,1,85.0,1611.0,1526.0,70.5,80-90%,Lower Than A Level
0,60,0,8,1,341.0,4187.0,3846.0,91.0,80-90%,Lower Than A Level
0,60,0,9,3,213.0,3424.0,3211.0,77.1,90-100%,HE Qualification
1,60,0,7,3,17.0,967.0,950.0,16.2,70-80%,HE Qualification
0,60,0,9,2,112.0,1174.0,1062.0,54.8,90-100%,A Level or Equivalent
1,60,0,2,1,24.0,523.0,499.0,40.1,20-30%,Lower Than A Level
1,60,0,5,3,166.0,2176.0,2010.0,13.4,50-60%,HE Qualification
0,60,0,4,2,62.0,323.0,261.0,79.69999999999999,40-50%,A Level or Equivalent
0,60,0,8,1,302.0,1949.0,1647.0,74.80000000000001,80-90%,Lower Than A Level
0,90,0,2,1,251.0,1969.0,1718.0,78.9,20-30%,Lower Than A Level
0,120,0,9,1,90.0,1616.0,1526.0,55.8,90-100%,Lower Than A Level
0,120,0,9,3,69.0,1690.0,1621.0,74.4,90-100%,HE Qualification
0,240,0,4,1,60.0,2864.0,2804.0,77.9,40-50%,Lower Than A Level
0,60,0,4,3,127.0,3070.0,2943.0,79.19999999999999,40-50%,HE Qualification
0,60,0,9,2,76.0,1617.0,1541.0,76.7,90-100%,A Level or Equivalent
0,60,0,1,1,13.0,1078.0,1065.0,61.5,10-20%,Lower Than A Level
0,120,0,2,2,41.0,470.0,429.0,43.6,20-30%,A Level or Equivalent
0,60,0,6,3,154.0,1189.0,1035.0,78.8,60-70%,HE Qualification
0,60,0,8,2,42.0,1216.0,1174.0,60.3,80-90%,A Level or Equivalent
0,60,0,9,3,61.0,1080.0,1019.0,83.4,90-100%,HE Qualification
1,60,0,4,1,169.0,228.0,59.0,21.121739130434783,40-50%,Lower Than A Level
0,60,0,2,3,156.0,2809.0,2653.0,62.8,20-30%,HE Qualification
0,60,0,9,1,113.0,1327.0,1214.0,63.4,90-100%,Lower Than A Level
1,120,0,8,3,2.0,519.0,517.0,15.2,80-90%,HE Qualification
0,60,0,9,3,234.0,4441.0,4207.0,79.2,90-100%,HE Qualification
0,60,0,2,1,359.0,2580.0,2221.0,68.4,20-30%,Lower Than A Level
0,60,0,8,3,524.0,7262.0,6738.0,81.6,80-90%,HE Qualification
0,60,0,3,1,154.0,650.0,496.0,73.1,30-40%,Lower Than A Level
0,60,0,7,2,10.0,248.0,238.0,65.4,70-80%,A Level or Equivalent
0,60,0,8,2,18.0,1591.0,1573.0,70.9,80-90%,A Level or Equivalent
0,60,0,9,2,117.0,1359.0,1242.0,71.8,90-100%,A Level or Equivalent
0,120,0,1,3,125.0,1481.0,1356.0,77.7,10-20%,HE Qualification
1,120,0,9,2,4.0,26.0,22.0,21.121739130434783,90-100%,A Level or Equivalent
0,60,0,2,3,40.0,988.0,948.0,77.3,20-30%,HE Qualification
0,60,0,7,1,136.0,1890.0,1754.0,71.9,70-80%,Lower Than A Level
1,60,0,7,2,35.0,250.0,215.0,6.4,70-80%,A Level or Equivalent
0,60,0,1,2,155.0,1326.0,1171.0,80.1,10-20%,A Level or Equivalent
0,60,0,3,1,51.0,844.0,793.0,59.1,30-40%,Lower Than A Level
0,60,0,8,1,228.0,2905.0,2677.0,72.80000000000001,80-90%,Lower Than A Level
0,60,0,7,1,180.0,4963.0,4783.0,64.4,70-80%,Lower Than A Level
0,60,0,5,2,201.0,1868.0,1667.0,73.5,50-60%,A Level or Equivalent
0,60,0,8,2,260.0,2049.0,1789.0,74.0,80-90%,A Level or Equivalent
0,120,0,3,2,33.0,1160.0,1127.0,75.7,30-40%,A Level or Equivalent
0,60,0,2,2,66.0,582.0,516.0,70.1,20-30%,A Level or Equivalent
1,60,0,8,2,31.0,426.0,395.0,17.5,80-90%,A Level or Equivalent
0,60,0,9,2,53.0,491.0,438.0,72.19999999999999,90-100%,A Level or Equivalent
0,60,0,1,1,165.0,1181.0,1016.0,79.8,10-20%,Lower Than A Level
0,60,0,8,2,63.0,1473.0,1410.0,65.2,80-90%,A Level or Equivalent
0,60,0,2,2,47.0,1066.0,1019.0,72.1,20-30%,A Level or Equivalent
1,60,0,4,2,45.0,92.0,47.0,39.22682926829268,40-50%,A Level or Equivalent
0,60,0,3,2,265.0,2407.0,2142.0,76.0,30-40%,A Level or Equivalent
0,120,0,1,2,44.0,797.0,753.0,42.1,10-20%,A Level or Equivalent
0,60,0,9,2,71.0,1964.0,1893.0,79.9,90-100%,A Level or Equivalent
0,120,0,3,1,121.0,2042.0,1921.0,66.5,30-40%,Lower Than A Level
0,60,0,5,1,411.0,4109.0,3698.0,79.2,50-60%,Lower Than A Level
0,60,0,8,2,308.0,2434.0,2126.0,48.8,80-90%,A Level or Equivalent
0,180,0,4,2,131.0,1596.0,1465.0,81.2,40-50%,A Level or Equivalent
0,60,0,6,1,421.0,5974.0,5553.0,84.69999999999999,60-70%,Lower Than A Level
0,60,0,0,2,6.0,641.0,635.0,84.3,0-10%,A Level or Equivalent
0,60,0,9,3,10.0,808.0,798.0,66.2,90-100%,HE Qualification
0,60,0,9,2,50.0,612.0,562.0,76.19999999999999,90-100%,A Level or Equivalent
1,60,0,9,2,11.0,280.0,269.0,54.0,90-100%,A Level or Equivalent
0,60,0,2,3,216.0,3720.0,3504.0,69.8,20-30%,HE Qualification
1,150,0,1,3,31.0,309.0,278.0,21.399999999999995,10-20%,HE Qualification
0,60,0,8,2,177.0,2287.0,2110.0,69.7,80-90%,A Level or Equivalent
1,90,0,1,2,45.0,3210.0,3165.0,75.5,10-20%,A Level or Equivalent
0,60,0,3,1,139.0,2815.0,2676.0,78.9,30-40%,Lower Than A Level
1,180,0,3,2,1.0,188.0,187.0,12.1,30-40%,A Level or Equivalent
0,60,0,1,2,44.0,289.0,245.0,68.4,10-20%,A Level or Equivalent
0,60,0,4,2,184.0,3929.0,3745.0,81.2,40-50%,A Level or Equivalent
0,60,0,5,2,228.0,2297.0,2069.0,84.7,50-60%,A Level or Equivalent
0,180,0,4,2,20.0,472.0,452.0,52.8,40-50%,A Level or Equivalent
0,120,0,7,2,14.0,4218.0,4204.0,76.5,70-80%,A Level or Equivalent
0,120,0,6,1,24.0,758.0,734.0,69.4,60-70%,Lower Than A Level
0,60,0,8,2,289.0,3348.0,3059.0,76.9,80-90%,A Level or Equivalent
1,60,0,6,2,137.0,2016.0,1879.0,33.6,60-70%,A Level or Equivalent
0,60,0,4,1,155.0,1183.0,1028.0,79.6,40-50%,Lower Than A Level
0,150,0,3,2,12.0,492.0,480.0,73.8,30-40%,A Level or Equivalent
1,60,0,7,1,51.0,130.0,79.0,54.3,70-80%,Lower Than A Level
1,60,0,3,3,25.0,59.0,34.0,39.22682926829268,30-40%,HE Qualification
0,60,0,3,2,219.0,1961.0,1742.0,58.8,30-40%,A Level or Equivalent
0,60,0,2,3,215.0,1435.0,1220.0,65.4,20-30%,HE Qualification
0,60,0,9,2,25.0,1046.0,1021.0,73.5,90-100%,A Level or Equivalent
0,120,0,9,2,51.0,483.0,432.0,67.9,90-100%,A Level or Equivalent
0,60,0,2,2,8.0,1740.0,1732.0,69.80000000000001,20-30%,A Level or Equivalent
0,60,0,3,2,1.0,652.0,651.0,74.5,30-40%,A Level or Equivalent
0,60,0,9,2,390.0,5231.0,4841.0,82.9,90-100%,A Level or Equivalent
1,180,0,9,2,126.0,1077.0,951.0,21.121739130434783,90-100%,A Level or Equivalent
0,120,0,7,2,5.0,187.0,182.0,41.5,70-80%,A Level or Equivalent
0,60,0,9,3,157.0,1775.0,1618.0,78.69999999999999,90-100%,HE Qualification
0,60,0,9,2,0.0,865.0,865.0,51.0,90-100%,A Level or Equivalent
1,240,0,4,2,2.0,709.0,707.0,51.9,40-50%,A Level or Equivalent
0,60,0,9,4,254.0,2152.0,1898.0,84.30000000000001,90-100%,Post Graduate Qualification
0,60,0,8,3,59.0,514.0,455.0,81.8,80-90%,HE Qualification
0,60,0,3,2,312.0,1997.0,1685.0,78.3,30-40%,A Level or Equivalent
1,60,0,4,2,34.0,513.0,479.0,29.4,40-50%,A Level or Equivalent
1,60,0,3,2,102.0,281.0,179.0,21.121739130434783,30-40%,A Level or Equivalent
1,60,0,7,2,9.0,146.0,137.0,6.4,70-80%,A Level or Equivalent
0,120,0,7,2,195.0,1277.0,1082.0,78.1,70-80%,A Level or Equivalent
1,120,0,8,1,68.0,68.0,0.0,21.121739130434783,80-90%,Lower Than A Level
0,120,0,5,2,0.0,987.0,987.0,54.9,50-60%,A Level or Equivalent
0,60,0,9,2,154.0,1220.0,1066.0,82.6,90-100%,A Level or Equivalent
0,60,0,1,2,353.0,2742.0,2389.0,60.9,10-20%,A Level or Equivalent
0,60,0,1,3,88.0,1081.0,993.0,81.3,10-20%,HE Qualification
0,60,0,7,2,51.0,1476.0,1425.0,43.3,70-80%,A Level or Equivalent
0,120,0,6,2,180.0,2230.0,2050.0,60.4,60-70%,A Level or Equivalent
0,60,0,9,4,669.0,12882.0,12213.0,87.8,90-100%,Post Graduate Qualification
0,60,0,9,2,50.0,281.0,231.0,58.5,90-100%,A Level or Equivalent
0,60,0,5,2,169.0,2158.0,1989.0,76.3,50-60%,A Level or Equivalent
0,120,0,8,3,199.0,1281.0,1082.0,66.6,80-90%,HE Qualification
0,60,0,5,2,272.0,6589.0,6317.0,78.6,50-60%,A Level or Equivalent
0,60,0,9,3,805.0,10083.0,9278.0,80.2,90-100%,HE Qualification
0,60,0,4,3,161.0,1901.0,1740.0,80.2,40-50%,HE Qualification
0,60,0,1,2,136.0,1961.0,1825.0,57.5,10-20%,A Level or Equivalent
0,120,0,9,2,31.0,133.0,102.0,64.6,90-100%,A Level or Equivalent
0,60,0,5,1,295.0,1034.0,739.0,55.0,50-60%,Lower Than A Level
1,60,0,9,3,488.0,2376.0,1888.0,8.4,90-100%,HE Qualification
0,60,0,6,2,188.0,1655.0,1467.0,75.1,60-70%,A Level or Equivalent
0,120,0,2,2,1.0,301.0,300.0,62.6,20-30%,A Level or Equivalent
0,60,0,8,3,25.0,648.0,623.0,74.19999999999999,80-90%,HE Qualification
1,150,0,5,2,59.0,332.0,273.0,15.5,50-60%,A Level or Equivalent
1,240,0,0,2,130.0,303.0,173.0,3.6,0-10%,A Level or Equivalent
1,60,0,2,2,214.0,2286.0,2072.0,43.20000000000001,20-30%,A Level or Equivalent
0,120,0,9,2,26.0,1316.0,1290.0,67.4,90-100%,A Level or Equivalent
0,60,0,8,2,30.0,333.0,303.0,47.8,80-90%,A Level or Equivalent
1,180,0,4,1,0.0,201.0,201.0,63.8,40-50%,Lower Than A Level
1,60,0,7,3,65.0,880.0,815.0,7.5,70-80%,HE Qualification
0,60,0,5,1,289.0,1950.0,1661.0,78.4,50-60%,Lower Than A Level
0,60,0,0,3,159.0,838.0,679.0,61.5,0-10%,HE Qualification
0,120,0,7,3,128.0,3644.0,3516.0,79.6,70-80%,HE Qualification
1,60,0,1,2,0.0,65.0,65.0,47.4,10-20%,A Level or Equivalent
0,180,0,6,2,3.0,547.0,544.0,79.5,60-70%,A Level or Equivalent
0,60,0,3,2,160.0,2219.0,2059.0,82.0,30-40%,A Level or Equivalent
0,120,0,5,2,11.0,569.0,558.0,82.4,50-60%,A Level or Equivalent
1,120,0,5,3,0.0,164.0,164.0,39.22682926829268,50-60%,HE Qualification
0,60,0,8,3,26.0,761.0,735.0,73.4,80-90%,HE Qualification
1,120,0,9,3,144.0,198.0,54.0,21.121739130434783,90-100%,HE Qualification
1,60,0,1,2,0.0,166.0,166.0,29.3,10-20%,A Level or Equivalent
1,60,0,7,1,35.0,821.0,786.0,48.8,70-80%,Lower Than A Level
0,120,0,0,2,111.0,891.0,780.0,55.6,0-10%,A Level or Equivalent
0,60,0,1,1,196.0,2129.0,1933.0,70.4,10-20%,Lower Than A Level
0,60,0,4,3,95.0,1465.0,1370.0,77.0,40-50%,HE Qualification
0,120,0,5,2,77.0,437.0,360.0,49.1,50-60%,A Level or Equivalent
1,120,0,5,3,53.0,292.0,239.0,53.7,50-60%,HE Qualification
0,180,0,0,1,43.0,677.0,634.0,67.4,0-10%,Lower Than A Level
0,60,0,2,3,374.0,2342.0,1968.0,87.3,20-30%,HE Qualification
0,60,0,8,2,0.0,2333.0,2333.0,73.0,80-90%,A Level or Equivalent
0,60,0,8,2,277.0,2445.0,2168.0,66.9,80-90%,A Level or Equivalent
0,60,0,8,2,75.0,1062.0,987.0,67.0,80-90%,A Level or Equivalent
0,120,0,9,2,6.0,543.0,537.0,76.30000000000001,90-100%,A Level or Equivalent
0,120,0,2,1,0.0,164.0,164.0,68.9,20-30%,Lower Than A Level
0,120,0,7,2,150.0,910.0,760.0,68.8,70-80%,A Level or Equivalent
0,60,0,8,1,63.0,671.0,608.0,63.7,80-90%,Lower Than A Level
0,60,0,9,2,121.0,875.0,754.0,61.9,90-100%,A Level or Equivalent
1,90,0,0,2,45.0,639.0,594.0,34.3,0-10%,A Level or Equivalent
1,120,0,7,2,32.0,363.0,331.0,43.5,70-80%,A Level or Equivalent
0,120,0,5,2,60.0,3003.0,2943.0,69.1,50-60%,A Level or Equivalent
0,60,0,6,2,22.0,876.0,854.0,74.8,60-70%,A Level or Equivalent
0,180,0,5,3,26.0,996.0,970.0,61.1,50-60%,HE Qualification
1,240,0,9,1,12.0,1183.0,1171.0,45.0,90-100%,Lower Than A Level
0,60,0,8,1,131.0,955.0,824.0,67.0,80-90%,Lower Than A Level
0,60,0,5,1,164.0,1445.0,1281.0,70.7,50-60%,Lower Than A Level
0,120,0,2,1,161.0,509.0,348.0,41.6,20-30%,Lower Than A Level
0,120,0,2,2,196.0,1388.0,1192.0,77.3,20-30%,A Level or Equivalent
1,240,0,9,2,126.0,1077.0,951.0,21.121739130434783,90-100%,A Level or Equivalent
0,120,0,5,2,29.0,807.0,778.0,76.0,50-60%,A Level or Equivalent
1,90,0,0,3,337.0,1359.0,1022.0,29.100000000000005,0-10%,HE Qualification
1,60,0,4,2,0.0,342.0,342.0,37.6,40-50%,A Level or Equivalent
0,60,0,7,2,0.0,411.0,411.0,58.3,70-80%,A Level or Equivalent
0,150,0,7,2,114.0,646.0,532.0,61.0,70-80%,A Level or Equivalent
